===2023-06-01 10:00:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-East_Asian_Male          | Train Loss: 2.0938 | Train Acc: 0.2799
 Site-Indian_Female            | Train Loss: 2.1244 | Train Acc: 0.2215
 Site-Indian_Male              | Train Loss: 2.1261 | Train Acc: 0.2198
 Site-Southeast_Asian_Female   | Train Loss: 2.1085 | Train Acc: 0.2444
 Site-Middle_Eastern_Male      | Train Loss: 2.1560 | Train Acc: 0.1768
 Site-White_Male                    | Val  Loss: 2.0843 | Val  Acc: 0.5000
 Site-White_Female                  | Val  Loss: 2.1262 | Val  Acc: 0.1111
 Site-White_Male                    | Val  Loss: 2.1315 | Val  Acc: 0.2692
 Site-White_Female                  | Val  Loss: 2.0618 | Val  Acc: 0.2564
 Site-White_Male                    | Val  Loss: 2.1268 | Val  Acc: 0.2414
 Site-White_Female                  | Val  Loss: 2.0501 | Val  Acc: 0.2824
 Site-White_Male                    | Val  Loss: 2.1236 | Val  Acc: 0.2240
 Site-White_Female                  | Val  Loss: 2.0631 | Val  Acc: 0.3533
 Site-White_Male                    | Val  Loss: 2.0953 | Val  Acc: 0.2694
 Site-White_Female                  | Val  Loss: 2.0673 | Val  Acc: 0.3095
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1240 | Val  Acc: 0.1429
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1125 | Val  Acc: 0.1707
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0736 | Val  Acc: 0.2833
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0910 | Val  Acc: 0.3146
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0547 | Val  Acc: 0.2672
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0743 | Val  Acc: 0.2850
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1043 | Val  Acc: 0.2518
 Site-Black_Female                  | Val  Loss: 2.1286 | Val  Acc: 0.2667
 Site-Black_Male                    | Val  Loss: 2.1182 | Val  Acc: 0.2424
 Site-Black_Female                  | Val  Loss: 2.1175 | Val  Acc: 0.2268
 Site-Black_Male                    | Val  Loss: 2.0695 | Val  Acc: 0.3007
 Site-Black_Female                  | Val  Loss: 2.1057 | Val  Acc: 0.2180
 Site-East_Asian_Male               | Val  Loss: 2.1159 | Val  Acc: 0.2073
 Site-East_Asian_Female             | Val  Loss: 2.0515 | Val  Acc: 0.2975
 Site-East_Asian_Male               | Val  Loss: 2.0916 | Val  Acc: 0.2303
 Site-Indian_Female                 | Val  Loss: 2.1244 | Val  Acc: 0.2381
 Site-Indian_Male                   | Val  Loss: 2.1214 | Val  Acc: 0.2645
 Site-Southeast_Asian_Female        | Val  Loss: 2.1130 | Val  Acc: 0.2938
 Site-Middle_Eastern_Male           | Val  Loss: 2.1444 | Val  Acc: 0.2167
Average Valid Accuracy: 0.2598
 Best site-White_Male                | Epoch:3 | Val Acc: 0.5000
 Best site-White_Female              | Epoch:3 | Val Acc: 0.1111
 Best site-White_Male                | Epoch:3 | Val Acc: 0.2692
