===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-2                       | Train Loss: 1.5888 | Train Acc: 0.3276
 Site-White-3                       | Train Loss: 1.4681 | Train Acc: 0.4070
 Site-White-4                       | Train Loss: 1.5644 | Train Acc: 0.3984
 Site-White-5                       | Train Loss: 1.5466 | Train Acc: 0.4255
 Site-White-6                       | Train Loss: 1.4807 | Train Acc: 0.4260
 Site-White-7                       | Train Loss: 1.4555 | Train Acc: 0.4668
 Site-White-8                       | Train Loss: 1.4611 | Train Acc: 0.4424
 Site-White-9                       | Train Loss: 1.4332 | Train Acc: 0.4427
 Site-Indian-0                      | Train Loss: 1.6199 | Train Acc: 0.3500
 Site-Indian-1                      | Train Loss: 1.7060 | Train Acc: 0.4045
 Site-Indian-2                      | Train Loss: 1.7474 | Train Acc: 0.2955
 Site-Indian-3                      | Train Loss: 1.8700 | Train Acc: 0.2938
 Site-Indian-4                      | Train Loss: 1.6512 | Train Acc: 0.3719
 Site-Middle_Eastern-0              | Train Loss: 1.5787 | Train Acc: 0.3787
 Site-Middle_Eastern-1              | Train Loss: 1.6021 | Train Acc: 0.3833
 Site-Black_utk-0                   | Train Loss: 1.7529 | Train Acc: 0.3556
Average Train Accuracy: 0.3910
