===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 0.4904 | Train Acc: 0.9298
 Site-amazon                        | Train Loss: 0.6896 | Train Acc: 0.9041
 Site-amazon                        | Train Loss: 0.6089 | Train Acc: 0.9368
 Site-amazon                        | Train Loss: 0.5300 | Train Acc: 0.9187
 Site-amazon                        | Train Loss: 0.4137 | Train Acc: 0.9434
 Site-amazon                        | Train Loss: 0.3597 | Train Acc: 0.9805
 Site-synthetic                     | Train Loss: 1.8182 | Train Acc: 0.6111
 Site-synthetic                     | Train Loss: 1.8046 | Train Acc: 0.5625
 Site-synthetic                     | Train Loss: 1.8670 | Train Acc: 0.5789
 Site-synthetic                     | Train Loss: 1.5854 | Train Acc: 0.6040
 Site-synthetic                     | Train Loss: 1.5872 | Train Acc: 0.6222
 Site-dslr                          | Train Loss: 0.6972 | Train Acc: 0.8462
 Site-dslr                          | Train Loss: 0.4886 | Train Acc: 0.9313
 Site-webcam                        | Train Loss: 0.9439 | Train Acc: 0.8358
Average Train Accuracy: 0.8345
 Site-amazon                        | Val  Loss: 0.1818 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.3421 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 0.3368 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.3853 | Val  Acc: 0.9655
 Site-amazon                        | Val  Loss: 0.4328 | Val  Acc: 0.9737
 Site-amazon                        | Val  Loss: 0.7148 | Val  Acc: 0.8980
 Site-amazon                        | Val  Loss: 0.4538 | Val  Acc: 0.9683
 Site-amazon                        | Val  Loss: 0.4742 | Val  Acc: 0.9268
 Site-amazon                        | Val  Loss: 0.4963 | Val  Acc: 0.9340
 Site-amazon                        | Val  Loss: 0.5624 | Val  Acc: 0.9270
 Site-synthetic                     | Val  Loss: 2.3910 | Val  Acc: 0.4167
 Site-synthetic                     | Val  Loss: 2.1983 | Val  Acc: 0.2857
