===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 10 ============
 Site-art_painting                  | Train Loss: 0.2954 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.5974 | Train Acc: 0.7826
 Site-art_painting                  | Train Loss: 0.5407 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.1028 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.3153 | Train Acc: 0.9200
 Site-art_painting                  | Train Loss: 0.2713 | Train Acc: 0.9219
 Site-art_painting                  | Train Loss: 0.3660 | Train Acc: 0.9157
 Site-art_painting                  | Train Loss: 0.2472 | Train Acc: 0.9252
 Site-art_painting                  | Train Loss: 0.2654 | Train Acc: 0.8993
 Site-art_painting                  | Train Loss: 0.2692 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.0104 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0233 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0656 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.1267 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0176 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.9249 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 0.9512 | Train Acc: 0.6479
 Site-cartoon                       | Train Loss: 1.1835 | Train Acc: 0.6528
Average Train Accuracy: 0.8919
============ Train epoch 11 ============
 Site-art_painting                  | Train Loss: 0.4110 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.5158 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.4943 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.2269 | Train Acc: 0.9211
 Site-art_painting                  | Train Loss: 0.4467 | Train Acc: 0.8600
 Site-art_painting                  | Train Loss: 0.2378 | Train Acc: 0.9531
 Site-art_painting                  | Train Loss: 0.3599 | Train Acc: 0.8916
 Site-art_painting                  | Train Loss: 0.2942 | Train Acc: 0.9252
 Site-art_painting                  | Train Loss: 0.2921 | Train Acc: 0.9424
 Site-art_painting                  | Train Loss: 0.2021 | Train Acc: 0.9667
 Site-photo                         | Train Loss: 0.0073 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0263 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0525 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.0893 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 0.0216 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.0288 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 0.9315 | Train Acc: 0.6831
 Site-cartoon                       | Train Loss: 0.9729 | Train Acc: 0.6528
Average Train Accuracy: 0.8894
============ Train epoch 12 ============
 Site-art_painting                  | Train Loss: 0.4383 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.5713 | Train Acc: 0.7826
 Site-art_painting                  | Train Loss: 0.4432 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.0902 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.3312 | Train Acc: 0.9200
